Name,PredLasso,PredRF,PredKNN,PredSVM,OldRating,AvgPred
Die Schule der magischen Tiere: Nicht zu fassen!,5.854330771235528,6.375687139999991,6.2092600000000004,6.187136950543416,5.49818,6.156603715444734
Casanova,6.158285443662375,6.085866543999989,6.253822,6.13435844345734,5.47544,6.158083107779926
POWERUP,6.769339570936934,7.039588099667448,6.6845500000000015,6.808106001246682,5.53589,6.825395917962767
Scurvy Dice,5.719842834639703,6.333857653846163,6.469596,6.007794425197037,5.51973,6.132772728420726
DETHRONED: The Real-Time Combat Card Game,6.467052182569811,6.75982689999999,6.535438000000001,6.441571579574671,5.52492,6.550972165536118
KIPP X,6.344620526182204,6.431963229523805,6.342134,6.323954511966246,5.55216,6.3606680669180635
Tower Up,6.676777201462759,7.085940340000006,6.22086,6.325624463539816,5.5975,6.577300501250646
Cookie Fu,6.225779463061807,6.187349093333334,6.280934,6.450271240084423,5.5069,6.28608344911989
Rubik's Illusion,6.360648683071641,6.240199099999994,5.541098,5.995148167077328,5.51709,6.034273487537241
King Toad,5.713026855238709,5.9915253911111135,6.453094,6.313797950478279,5.47563,6.117861049207026
Bloody 110,7.179120284396757,6.981651160000001,6.816046,7.084352685700308,5.55084,7.015292532524267
Cartooner: The Fast & Furious Game of Drawing Comics,6.290932020067229,6.457208700000002,6.064038,6.1159342283659655,5.52354,6.232028237108299
Ogre Miniatures,6.839395762057413,6.47178757,6.133928,6.747768888437937,5.59651,6.5482200551238385
"The First Afghan War, 1839-42",6.77945674535054,6.831061551634917,6.300908,6.7677035348064845,5.52019,6.669782457947985
Slasher: The Final Cut,6.373281708635896,5.949401061666667,6.127108,6.1908650322968946,5.50408,6.160163950649864
Imperial Stars II,6.816214717791847,6.988840980535715,6.289054,6.63786815994837,5.5905,6.682994464568983
Suleiman the Magnificent,6.734403059059876,6.857397259412378,6.340135999999999,6.992530191562496,5.53945,6.731116627508687
Too Many Cooks,6.234301118673029,6.2526321999999945,6.179056,6.24846535395745,5.50194,6.228613668157618
Samurai Vassal,6.499975147018661,6.762758899999998,6.316478,6.821837567586435,5.5259,6.600262403651273
Absolute Victory: World Conflict 1939-1945,7.198805981138284,7.492430240000009,6.7148699999999995,7.129484439342472,5.58274,7.133897665120192
Bamboozle,6.485201948567637,5.913424626857136,6.652764,6.2342771861549515,5.49023,6.321416940394931
Hero: Tales of the Tomes,7.022789044201884,7.051075794111895,6.47701,6.842486932082107,5.53662,6.848340442598972
Dogs Alone,6.258228872722779,6.943714200000001,6.306126000000001,6.173929753828904,5.54263,6.420499706637922
Khyber Rifles,7.037413461243331,6.781384442857147,6.149932000000001,6.975688658138457,5.49492,6.736104640559734
"Tahiti:  Clan Warfare, Polynesia 750 AD",6.789015735621402,6.695368959444446,6.306552,6.666691883009925,5.51166,6.614407144518943
Greedy Dragons,6.65361509721242,6.869322330512832,6.200974,6.579648072993089,5.5237,6.575889875179585
Final War,6.428520880060111,6.803555278507949,6.351439999999999,6.357615109076479,5.50975,6.485282816911135
Austin Powers CCG,6.305738253242085,6.039878306857137,6.133164000000001,6.469123838934162,5.46347,6.236976099758347
